County,Population,PCIncome,MedHouseIncome,MedFamilyIncome
Alameda,1559308,36439,73775,90822
Alpine,1202,24375,61343,71932
Amador,37159,27373,52964,68765
Butte,221578,24430,43165,56934
Calaveras,44921,29296,54936,67100
Colusa,21424,22211,50503,56472
Contra Costa,1081232,38770,79799,95087
Del Norte,28066,19424,39302,52452
El Dorado,181465,35128,68507,84690
Fresno,948844,20231,45201,50046
Glenn,28019,21698,40106,51940
Humboldt,134876,23516,42153,53532
Imperial,177026,16409,41772,46555
Inyo,18439,27028,45625,69041
Kern,857730,20467,48574,52541
Kings,151390,18518,47341,50202
Lake,64209,21310,35997,47773
Lassen,33356,19847,53351,66717
Los Angeles,9974203,27987,55870,62289
Madera,152452,17797,45490,49964
Marin,256802,58004,91529,120030
Mariposa,17946,28327,50560,63520
Mendocino,87612,23712,43290,53996
Merced,261609,18464,43066,47729
Modoc,9335,21830,38560,46536
Mono,14193,29578,61814,73494
Monterey,424927,25048,58582,62370
Napa,139253,35092,70925,81275
Nevada,98606,32117,56949,69649
Orange,3086331,34416,75998,85472
Placer,361518,35711,73747,88615
Plumas,19286,29167,48032,60709
Riverside,2266899,23660,56592,63523
Sacramento,1450277,27071,55615,64496
San Benito,56888,26317,67874,71124
San Bernardino,2078586,21384,54100,59626
San Diego,3183143,31043,63996,74569
San Francisco,829072,49986,78378,93391
San Joaquin,701050,22642,53253,59614
San Luis Obispo,274184,30392,59454,75828
San Mateo,739837,47198,91421,108088
Santa Barbara,431555,30526,63409,73636
Santa Clara,1841569,42666,93854,106401
Santa Cruz,267203,33050,66923,81495
Shasta,178520,23763,44556,55028
Sierra,3019,28030,43107,57708
Siskiyou,44261,22482,37495,46079
Solano,421624,29132,67341,77634
Sonoma,491790,33361,63799,76614
Stanislaus,522794,21729,49573,55357
Sutter,95067,23828,51527,58434
Tehama,63284,21002,42369,49731
Trinity,13515,23145,36862,49221
Tulare,451108,17888,42863,45296
Tuolumne,54347,26063,48493,58355
Ventura,835790,33308,77335,86890
Yolo,204162,28080,55508,75225
Yuba,73059,19586,45470,49560
