Year,Wild_Catch,Farmed_Fish,Total_Fish_Produced,Year1
1950,17.2,0.5,17.7,0
1951,19.2,0.7,19.9,1
1952,21.1,0.8,21.9,2
1953,21.5,0.9,22.4,3
1954,23.2,1,24.2,4
1955,24.3,1.2,25.5,5
1956,25.9,1.2,27.1,6
1957,26.1,1.5,27.6,7
1958,26.6,1.5,28.1,8
1959,28.9,1.6,30.5,9
1960,30.9,1.6,32.5,10
1961,34.5,1.5,36,11
1962,37.5,1.5,39,12
1963,38.2,1.7,39.9,13
1964,42.3,1.8,44.1,14
1965,42.6,2,44.6,15
1966,46.2,2,48.2,16
1967,49.1,2.1,51.2,17
1968,52.1,2.2,54.3,18
1969,50.2,2.3,52.5,19
1970,55.4,2.5,57.8,20
1971,55.4,2.7,58.1,21
1972,50.6,2.9,53.5,22
1973,50.3,3,53.3,23
1974,53.1,3.2,56.3,24
1975,51.8,3.5,55.3,25
1976,55.1,3.6,58.7,26
1977,54.5,4,58.5,27
1978,56.9,4.1,61,28
1979,57.5,4.2,61.6,29
1980,57.6,4.5,62.1,30
1981,59.9,5.1,65,31
1982,61.3,5.5,66.8,32
1983,61.4,6,67.4,33
1984,66.4,6.7,73,34
1985,67.9,7.7,75.7,35
1986,72.8,8.8,81.7,36
1987,73.4,10.2,83.7,37
1988,87.4,11.7,99,38
1989,87.9,12.3,100.2,39
1990,84.1,13.1,97.2,40
1991,83.2,13.7,97,41
1992,85.1,15.4,100.5,42
1993,86.4,17.8,104.2,43
1994,92,20.8,112.8,44
1995,92.1,24.4,116.4,45
1996,93.6,26.6,120.2,46
1997,92.9,27.3,120.2,47
1998,85.5,28.4,114,48
1999,91.3,30.7,122,49
2000,93.3,32.4,125.7,50
2001,90.5,34.6,125.2,51
2002,90.6,36.8,127.4,52
2003,87.9,38.9,126.8,53
2004,92.3,41.9,134.2,54
2005,92.1,44.3,136.4,55
2006,89.9,47.3,137.2,56
2007,90.2,49.9,140.1,57
2008,89.6,52.9,142.5,58
2009,89.5,55.7,145.2,59
2010,88.5,59.9,148.4,60
2011,91.8,63.6,155.4,61
2012,90.1,67.3,157.4,62
