name,longitude,latitude
Mexicali-UABC,32.629200,-115.446000
Calexico-Ethel Street,32.676094,-115.483117
Mexicali-Cobach,32.640300,-115.506400
Sonny Bono,33.176380,-115.623100
Bombay Beach,33.352636,-115.734192
Naval Test Base,33.169230,-115.855930
Salton City,33.272750,-115.900620
Salton Sea Park,33.508960,-115.919540
Torres-Martinez,33.518312,-116.075381
Alpine-Victoria Drive,32.842320,-116.768310
Banning Airport,33.920770,-116.858410
Otay Mesa-Donovan,32.578160,-116.921350
El Cajon-Lexington Elementary School    ,32.789560,-116.944320
Winchester-33700 Borel Road             ,33.583330,-117.083330
Crestline,34.243130,-117.272300
Lake Elsinore-W Flint Street,33.676530,-117.331040
Camp Pendleton,33.217010,-117.396160
Riverside-Rubidoux,33.999520,-117.415950
Mira Loma Van Buren,33.996360,-117.492400
Ontario-Route 60 Near Road              ,34.030830,-117.617220
Upland,34.103670,-117.629060
Glendora-Laurel,34.144370,-117.850380
Keeler-Cerro Gordo Road,36.487850,-117.871040
Anaheim-Pampas Lane,33.830610,-117.938500
Mojave-923 Poole Street,35.050450,-118.147780
South Long Beach,33.792400,-118.175250
Long Beach-Route 710 Near Road          ,33.859440,-118.200280
Los Angeles-North Main Street,34.066530,-118.226760
Bishop-Line,37.413675,-118.447867
Santa Clarita,34.383370,-118.528390
Reseda,34.199200,-118.532750
Simi Valley-Cochran Street,34.276400,-118.683750
Sequoia and Kings Canyon Natl Park,36.604170,-118.733060
Piru-3301 Pacific Avenue,34.404260,-118.809910
Lebec-Beartrap Road,34.841550,-118.860580
Thousand Oaks-Moorpark Road,34.210140,-118.870500
Porterville-1839 Newcomb Street,36.031790,-119.055050
Bakersfield-5558 California Avenue,35.356620,-119.062610
El Rio-Rio Mesa School #2,34.252380,-119.143180
Ojai-Ojai Avenue,34.448040,-119.231310
Visalia-N Church Street,36.332500,-119.290833
Corcoran-Patterson Avenue,36.102222,-119.565833
Yosemite Village-Visitor Center,37.748710,-119.587090
Hanford-S Irwin Street,36.315720,-119.643230
Santa Barbara-700 East Canon Perdido,34.427750,-119.690910
Clovis-N Villa Avenue,36.819444,-119.716389
Fresno-Garland                          ,36.785322,-119.774174
Goleta-Fairview,34.445510,-119.828450
Madera-28261 Avenue 14,36.953256,-120.034203
Huron-16875 4th Street,36.198650,-120.101170
Tahoe City-221 Fairway Drive,39.166020,-120.148830
Truckee-Fire Station,39.328040,-120.185159
Tranquility-32650 West Adams Avenue,36.634240,-120.382340
Merced-S Coffee Avenue,37.281770,-120.433680
Santa Maria-906 S Broadway,34.942870,-120.435610
Lompoc-S H Street,34.637820,-120.457500
Portola-Gulling Street                  ,39.813356,-120.470691
Nipomo-Guadalupe Road,35.020790,-120.563890
Arroyo Grande-2391 Willow Road,35.046760,-120.587770
Atascadero-Lift Station #5              ,35.494420,-120.666220
San Luis Obispo-3220 South Higuera St,35.256510,-120.669300
San Andreas-Gold Strike Road,38.201850,-120.680280
Turlock-S Minaret Street,37.488220,-120.835920
Quincy-N Church Street,39.939570,-120.944380
Colfax-City Hall,39.099790,-120.953910
Modesto-14th Street,37.641944,-120.994167
Auburn-11645 Atwood Road                ,38.935680,-121.099590
King City-415 Pearl Street,36.209020,-121.125960
Folsom-Natoma Street,38.683290,-121.164440
Sloughhouse,38.494440,-121.211150
Chester-222 1st Avenue,40.309650,-121.227850
Manteca-530 Fishback Rd,37.793380,-121.247790
Roseville-N Sunrise Blvd,38.746430,-121.264980
Stockton-Hazelton Street,37.950750,-121.268970
Hollister-Fairview Road,36.843430,-121.362100
Sacramento-Del Paso Manor,38.613889,-121.368056
Elk Grove-Bruceville Road,38.302560,-121.420830
Tracy-Airport,37.682680,-121.442380
Sacramento-T Street,38.568333,-121.493056
Gilroy-9th Street,36.999580,-121.574660
Paradise-Theater                        ,39.779190,-121.591350
Yuba City-Almond Street,39.138889,-121.619167
Salinas-High School,36.706170,-121.645390
Gridley-Cowee Avenue,39.327560,-121.668810
Rio Vista-St Francis Way,38.193389,-121.703639
Woodland-Gibson Road,38.660556,-121.730556
Carmel Valley-Ford Road,36.481870,-121.733330
Davis-UCD Campus,38.534550,-121.773400
Livermore-793 Rincon Avenue,37.687500,-121.784200
Chico-East Avenue                       ,39.761667,-121.840556
San Jose-Knox Avenue                    ,37.338200,-121.849890
San Jose-Jackson Street,37.348490,-121.894940
Vacaville-Ulatis Drive,38.356550,-121.949860
Santa Cruz AMS,36.983320,-121.988220
Colusa-Sunrise Blvd,39.188889,-121.998056
Concord-2975 Treat Blvd,37.936000,-122.026200
San Lorenzo Valley Middle School AMS,37.063150,-122.083090
Oakland-9925 International Blvd,37.743060,-122.169940
Willows-720 N Colusa Street,39.533870,-122.190830
Redwood City,37.482930,-122.203480
Vallejo-304 Tuolumne Street,38.102510,-122.238000
Red Bluff-1834 Walnut Street            ,40.170880,-122.255560
Oakland-Laney College                   ,37.793620,-122.263380
Oakland-West,37.814800,-122.282360
Napa-Jefferson Avenue,38.310970,-122.296160
Anderson-North Street,40.453180,-122.298830
Berkeley-Aquatic Park                   ,37.864730,-122.302700
San Pablo-Rumrill Blvd,37.960400,-122.356850
San Francisco-Arkansas Street,37.765950,-122.399020
San Rafael,37.972300,-122.520110
Sebastopol-103 Morris Street            ,38.403770,-122.818290
Ukiah-County Library,39.150470,-123.206550
Willits-125 E Commercial Street,39.411740,-123.352640
